ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2088699-20151016,2421915,360994,1,"RADISSON CHICAGO MP MANAGEMENT, LLC",RADISSON BLU AQUA,221 N COLUMBUS DR,CHICAGO,IL,60601,42,50,1,1050,Public Place of Amusement,2088699,RENEW,,08/15/2015,09/03/2015,N,10/16/2015,10/15/2017,09/30/2015,10/01/2015,AAI,,,41.886312514,-87.62054177,"(41.88631251428426, -87.62054176987209)"
2522771-20200316,2711420,396028,2,"ADDIVY PROPERTIES, LLC",THE EDGE THEATER / THE EDGE OFF BROADWAY,5451 N BROADWAY,CHICAGO,IL,60640,48,6,20,1050,Public Place of Amusement,2522771,RENEW,,01/15/2020,02/13/2020,N,03/16/2020,03/15/2022,02/13/2020,02/14/2020,AAI,,26,41.981482057,-87.65986305,"(41.98148205666434, -87.65986305008234)"
2492322-20201116,2754200,299629,2,CHICAGO CHILDREN'S THEATRE,CHICAGO CHILDREN'S THEATRE,100-106 S RACINE AVE 1-2,CHICAGO,IL,60607,27,2,12,1050,Public Place of Amusement,2492322,RENEW,,10/15/2020,11/25/2020,N,11/16/2020,11/15/2022,11/25/2020,04/11/2022,AAI,,,41.880263454,-87.657244494,"(41.880263454464036, -87.65724449419724)"
2293665-20170216,2504235,353840,2,MGL-GRAND LLC,YUKI HANA,2918-2920 N CLARK ST,CHICAGO,IL,60657,44,45,19,1050,Public Place of Amusement,2293665,RENEW,,12/15/2016,01/16/2017,N,02/16/2017,02/15/2019,01/19/2017,01/20/2017,AAI,,8,41.935286831,-87.647072469,"(41.93528683052736, -87.64707246891297)"
1843381-20140216,2301477,292775,1,"MEXCALTITAN, INC.",LAS ISLAS BAR & GRILL,6560 W FULLERTON AVE,CHICAGO,IL,60707,36,3,25,1050,Public Place of Amusement,1843381,RENEW,,12/15/2013,02/04/2014,N,02/16/2014,02/15/2016,03/06/2014,03/07/2014,AAI,,,41.923750201,-87.78988086,"(41.92375020104243, -87.78988085962634)"
1807-20210516,2776679,356,1,"DIONISOS RESTAURANT, INC.",DIONISOS,310 S HALSTED ST 1ST,CHICAGO,IL,60661,34,58,12,1050,Public Place of Amusement,1807,RENEW,,03/15/2021,07/07/2021,N,05/16/2021,05/15/2023,10/05/2021,10/05/2021,AAI,,16,41.877594081,-87.64738021,"(41.87759408077344, -87.64738020966664)"
2938431-20240322,2938431,492823,1,INDUSTRY ALES LLC,INDUSTRY ALES,228-230 S WABASH AVE 1,CHICAGO,IL,60604,34,33,1,1050,Public Place of Amusement,2938431,ISSUE,10/19/2023,10/19/2023,10/25/2023,Y,03/22/2024,04/15/2026,03/22/2024,03/22/2024,AAI,,1,41.878812163,-87.626247206,"(41.878812162577766, -87.62624720633796)"
2222279-20220216,2825963,378192,1,"LOGAN TAVERN GROUP, LLC",LOGAN HARDWARE ARCADE,2408-2410 W FULLERTON AVE 1ST,CHICAGO,IL,60647,1,24,14,1050,Public Place of Amusement,2222279,RENEW,,12/15/2021,02/24/2022,N,02/16/2022,02/15/2024,02/24/2022,02/25/2022,AAI,,,41.925007324,-87.688019534,"(41.92500732368619, -87.68801953359667)"
2341540-20171016,2554873,391703,1,STK CHICAGO LLC,STK CHICAGO,9 W KINZIE ST 1ST,CHICAGO,IL,60654,42,27,18,1050,Public Place of Amusement,2341540,RENEW,,08/31/2017,09/29/2017,N,10/16/2017,10/15/2019,09/29/2017,10/13/2017,AAI,,,41.889137271,-87.62843006,"(41.88913727056584, -87.62843005984261)"
1620706-20160216,2439848,295045,1,"POPS FOR CHAMPAGNE LTD., LLC",POPS FOR CHAMPAGNE,601-605 N STATE ST 1,CHICAGO,IL,60654,42,22,18,1050,Public Place of Amusement,1620706,RENEW,,12/15/2015,02/16/2016,N,02/16/2016,02/15/2018,11/15/2016,11/16/2016,AAI,,,41.892517293,-87.627949718,"(41.89251729286969, -87.62794971765776)"
2492878-20230616,2904715,410551,1,THEMART TOTS LLC,MARSHALL'S LANDING,222 W MERCHANDISE MART PLZ 2 225,CHICAGO,IL,60654,42,14,18,1050,Public Place of Amusement,2492878,RENEW,,04/15/2023,06/08/2023,N,06/16/2023,06/15/2025,06/08/2023,06/09/2023,AAI,,,41.888074281,-87.634955203,"(41.8880742810662, -87.63495520292739)"
2487807-20180727,2487807,15189,2,"FAB 4, INC.",TOBACCO ROAD TAP ROOM,2249 N LINCOLN AVE 1-2,CHICAGO,IL,60614,43,29,18,1050,Public Place of Amusement,2487807,ISSUE,08/22/2016,12/16/2016,01/03/2017,N,07/27/2018,07/15/2021,07/27/2018,07/27/2018,AAI,,35,41.923067781,-87.645225321,"(41.92306778137144, -87.64522532067684)"
1545387-20190516,2653499,3222,2,"GABE'S PLACE, INC.",CAFE BA BA REEBA,2024-2028 N HALSTED ST,CHICAGO,IL,60614,43,11,18,1050,Public Place of Amusement,1545387,RENEW,,03/15/2019,04/26/2019,N,05/16/2019,07/15/2021,04/30/2019,05/01/2019,AAI,,,41.918943199,-87.64868497,"(41.918943198725025, -87.64868497024028)"
2507013-20230216,2883256,36471,1,"ALLEN GRAHAM VAN HULLE ENTERPRISES, INC.",THE LUCKY HORSESHOE LOUNGE,3169 N HALSTED ST 1ST,CHICAGO,IL,60657,44,21,19,1050,Public Place of Amusement,2507013,RENEW,,12/15/2022,12/19/2022,N,02/16/2023,02/15/2025,02/14/2023,02/14/2023,AAI,,8,41.939876223,-87.649116442,"(41.9398762229962, -87.64911644222865)"
2549959-20210816,2793549,261265,1,CITY LIT THEATRE COMPANY,CITY LIT THEATER,1020 W BRYN MAWR AVE 2,CHICAGO,IL,60660,48,46,20,1050,Public Place of Amusement,2549959,RENEW,,06/15/2021,08/16/2021,N,08/16/2021,08/15/2023,08/16/2021,08/16/2021,AAI,,,41.983802096,-87.65613163,"(41.98380209579369, -87.65613163038387)"
1905129-20210316,2767418,159,1,"ANDY'S 11 EAST LOUNGE, LTD.",ANDYS 11 EAST LOUNGE,11 E HUBBARD ST 1ST,CHICAGO,IL,60611,42,55,18,1050,Public Place of Amusement,1905129,RENEW,,01/15/2021,03/01/2021,N,03/16/2021,03/15/2023,03/26/2021,06/30/2021,AAI,,,41.889963868,-87.627506922,"(41.889963868268154, -87.62750692235896)"
